Timestamp,tech_id,Form Factor
05/03/22 12:58 PM,JeannetteF,Mini Tower
05/03/22 2:27 PM,JenniferR,Mini Tower
05/03/22 2:36 PM,JenniferR,Tower
05/03/22 2:36 PM,CesarP,Desktop
05/03/22 2:52 PM,CesarP,Notebook
05/03/22 2:58 PM,CesarP,Notebook
05/03/22 3:07 PM,CesarP,Notebook
05/03/22 3:20 PM,CesarP,Notebook
05/03/22 3:37 PM,CesarP,Notebook
05/03/22 3:37 PM,KristianV,Notebook
05/03/22 3:42 PM,CesarP,Notebook
05/03/22 3:46 PM,JenniferR,Notebook
05/03/22 3:51 PM,JenniferR,Notebook
05/03/22 4:07 PM,CesarP,Laptop
05/03/22 4:24 PM,CesarP,Notebook
05/03/22 4:28 PM,JenniferR,Notebook
05/03/22 4:33 PM,JenniferR,Notebook
05/03/22 4:43 PM,JenniferR,Notebook
05/03/22 4:49 PM,JenniferR,Notebook
05/03/22 4:55 PM,CesarP,Laptop
05/03/22 5:00 PM,JenniferR,Notebook
05/04/22 9:07 AM,CesarP,Notebook
05/04/22 9:18 AM,CesarP,Notebook
05/04/22 9:40 AM,CesarP,Notebook
05/04/22 9:49 AM,CesarP,Notebook
05/04/22 10:03 AM,KristianV,Mini Tower
05/04/22 10:04 AM,CesarP,Mini Tower
05/04/22 10:06 AM,JenniferR,Mini Tower
05/04/22 10:10 AM,KristianV,Mini Tower
05/04/22 10:10 AM,CesarP,Desktop
05/04/22 10:11 AM,JenniferR,Mini Tower
05/04/22 10:15 AM,JenniferR,Mini Tower
05/04/22 10:18 AM,CesarP,Desktop
05/04/22 10:24 AM,CesarP,Mini Tower
05/04/22 10:24 AM,KristianV,Mini Tower
05/04/22 10:25 AM,CesarP,Mini Tower
05/04/22 10:30 AM,CesarP,Mini Tower
05/04/22 10:31 AM,JenniferR,Mini Tower
05/04/22 10:32 AM,KristianV,Mini Tower
05/04/22 10:35 AM,JenniferR,Mini Tower
05/04/22 10:36 AM,CesarP,Mini Tower
05/04/22 10:41 AM,KristianV,Mini Tower
05/04/22 10:43 AM,CesarP,Mini Tower
05/04/22 10:43 AM,JenniferR,Mini Tower
05/04/22 10:48 AM,JenniferR,Mini Tower
05/04/22 10:48 AM,CesarP,Mini Tower
05/04/22 10:49 AM,KristianV,Mini Tower
05/04/22 10:52 AM,JenniferR,Mini Tower
05/04/22 10:54 AM,CesarP,Mini Tower
05/04/22 10:56 AM,KristianV,Mini Tower
05/04/22 11:00 AM,JenniferR,Mini Tower
05/04/22 11:18 AM,CesarP,Mini Tower
05/04/22 11:24 AM,KristianV,Mini Tower
05/04/22 11:29 AM,KristianV,Mini Tower
05/04/22 11:29 AM,CesarP,Mini Tower
05/04/22 11:32 AM,JenniferR,Mini Tower
05/04/22 11:34 AM,KristianV,Mini Tower
05/04/22 11:37 AM,CesarP,Mini Tower
05/04/22 11:37 AM,KristianV,Mini Tower
05/04/22 11:39 AM,JenniferR,Mini Tower
05/04/22 11:42 AM,KristianV,Mini Tower
05/04/22 11:42 AM,CesarP,Mini Tower
05/04/22 11:45 AM,JenniferR,Mini Tower
05/04/22 11:46 AM,KristianV,Mini Tower
05/04/22 11:49 AM,JenniferR,Mini Tower
05/04/22 11:55 AM,KristianV,Tower
05/04/22 11:56 AM,JenniferR,Mini Tower
05/04/22 11:57 AM,CesarP,Tower
05/04/22 12:00 PM,JenniferR,Mini Tower
05/04/22 12:09 PM,KristianV,Tower
05/04/22 12:22 PM,KristianV,Mini Tower
05/04/22 12:29 PM,KristianV,Mini Tower
05/04/22 12:38 PM,KristianV,Mini Tower
05/04/22 12:42 PM,JenniferR,Mini Tower
05/04/22 12:43 PM,KristianV,Mini Tower
05/04/22 12:46 PM,JenniferR,Mini Tower
05/04/22 12:51 PM,KristianV,Mini Tower
05/04/22 12:51 PM,JenniferR,Mini Tower
05/04/22 12:55 PM,JenniferR,Mini Tower
05/04/22 12:59 PM,KristianV,Mini Tower
05/04/22 12:59 PM,JenniferR,Mini Tower
05/04/22 1:54 PM,CesarP,Desktop
05/04/22 2:10 PM,KristianV,Mini Tower
05/04/22 2:15 PM,KristianV,Mini Tower
05/04/22 2:21 PM,KristianV,Mini Tower
05/04/22 2:24 PM,JenniferR,Mini Tower
05/04/22 2:30 PM,KristianV,Mini Tower
05/04/22 2:30 PM,JenniferR,Mini Tower
05/04/22 2:35 PM,CesarP,Desktop
05/04/22 2:44 PM,CesarP,Desktop
05/04/22 2:48 PM,JenniferR,Mini Tower
05/04/22 2:50 PM,JeannetteF,Mini Tower
05/04/22 2:52 PM,CesarP,Desktop
05/04/22 2:57 PM,JenniferR,Mini Tower
05/04/22 3:01 PM,JenniferR,Mini Tower
05/04/22 3:03 PM,CesarP,Desktop
05/04/22 3:05 PM,JenniferR,Mini Tower
05/04/22 3:08 PM,JenniferR,Mini Tower
05/04/22 3:12 PM,JenniferR,Mini Tower
05/04/22 3:13 PM,JeannetteF,Mini Tower
05/04/22 3:15 PM,KristianV,Mini Tower
05/04/22 3:17 PM,CesarP,Space-saving
05/04/22 3:21 PM,JenniferR,Mini Tower
05/04/22 3:23 PM,KristianV,Mini Tower
05/04/22 3:27 PM,CesarP,Space-saving
05/04/22 3:27 PM,JenniferR,Mini Tower
05/04/22 3:30 PM,KristianV,Mini Tower
05/04/22 3:33 PM,JenniferR,Mini Tower
05/04/22 3:35 PM,CesarP,Desktop
05/04/22 3:38 PM,JenniferR,Mini Tower
05/04/22 3:38 PM,KristianV,Mini Tower
05/04/22 3:41 PM,JenniferR,Mini Tower
05/04/22 3:43 PM,CesarP,Desktop
05/04/22 3:47 PM,JenniferR,Mini Tower
05/04/22 3:47 PM,KristianV,Mini Tower
05/04/22 3:52 PM,JenniferR,Mini Tower
05/04/22 3:54 PM,KristianV,Mini Tower
05/04/22 3:55 PM,CesarP,Desktop
05/04/22 3:57 PM,JenniferR,Mini Tower
05/04/22 3:59 PM,KristianV,Mini Tower
05/04/22 4:17 PM,CesarP,Space-saving
05/04/22 4:25 PM,KristianV,Mini Tower
05/04/22 4:33 PM,CesarP,Space-saving
05/04/22 4:34 PM,KristianV,Mini Tower
05/04/22 4:40 PM,JenniferR,Mini Tower
05/04/22 4:49 PM,CesarP,Mini Tower
05/04/22 4:51 PM,KristianV,Mini Tower
05/04/22 4:58 PM,KristianV,Mini Tower
05/05/22 9:02 AM,KristianV,Mini Tower
05/05/22 9:09 AM,JenniferR,Mini Tower
05/05/22 9:10 AM,KristianV,Mini Tower
05/05/22 9:17 AM,KristianV,Mini Tower
05/05/22 9:29 AM,JenniferR,Mini Tower
05/05/22 9:40 AM,KristianV,Mini Tower
05/05/22 9:41 AM,JenniferR,Mini Tower
05/05/22 9:46 AM,JenniferR,Mini Tower
05/05/22 9:49 AM,KristianV,Mini Tower
05/05/22 9:51 AM,JenniferR,Mini Tower
05/05/22 9:55 AM,KristianV,Mini Tower
05/05/22 9:57 AM,JenniferR,Mini Tower
05/05/22 10:00 AM,JenniferR,Mini Tower
05/05/22 10:04 AM,JenniferR,Mini Tower
05/05/22 10:08 AM,JenniferR,Mini Tower
05/05/22 10:12 AM,JenniferR,Mini Tower
05/05/22 10:17 AM,JenniferR,Mini Tower
05/05/22 10:18 AM,KristianV,Mini Tower
05/05/22 10:24 AM,JenniferR,Mini Tower
05/05/22 10:28 AM,JenniferR,Mini Tower
05/05/22 10:34 AM,KristianV,Mini Tower
05/05/22 10:42 AM,JenniferR,Mini Tower
05/05/22 10:44 AM,KristianV,Mini Tower
05/05/22 10:46 AM,JenniferR,Mini Tower
05/05/22 10:52 AM,JenniferR,Mini Tower
05/05/22 10:55 AM,JenniferR,Mini Tower
05/05/22 11:01 AM,JenniferR,Mini Tower
05/05/22 11:20 AM,JenniferR,Mini Tower
05/05/22 11:24 AM,JenniferR,Mini Tower
05/05/22 11:27 AM,JenniferR,Mini Tower
05/05/22 11:31 AM,JenniferR,Mini Tower
05/05/22 11:32 AM,KristianV,Mini Tower
05/05/22 11:36 AM,JenniferR,Mini Tower
05/05/22 11:37 AM,KristianV,Mini Tower
05/05/22 11:40 AM,JenniferR,Mini Tower
05/05/22 11:42 AM,KristianV,Mini Tower
05/05/22 11:45 AM,JenniferR,Mini Tower
05/05/22 11:48 AM,JenniferR,Mini Tower
05/05/22 11:53 AM,KristianV,Desktop
05/05/22 11:57 AM,JenniferR,Desktop
05/05/22 12:00 PM,KristianV,Desktop
05/05/22 12:10 PM,KristianV,Desktop
05/05/22 12:13 PM,JenniferR,Desktop
05/05/22 12:17 PM,JenniferR,Desktop
05/05/22 12:19 PM,JenniferR,Desktop
05/05/22 12:20 PM,KristianV,Lunch Box
05/05/22 12:23 PM,JenniferR,Desktop
05/05/22 12:30 PM,KristianV,Space-saving
05/05/22 12:30 PM,JenniferR,Mini Tower
05/05/22 12:35 PM,JenniferR,Mini Tower
05/05/22 12:38 PM,KristianV,Space-saving
05/05/22 12:42 PM,JenniferR,Mini Tower
05/05/22 12:47 PM,JenniferR,Mini Tower
05/05/22 12:51 PM,KristianV,Mini Tower
05/05/22 12:58 PM,KristianV,Mini Tower
05/05/22 1:58 PM,JenniferR,Mini Tower
05/05/22 2:10 PM,JenniferR,Mini Tower
05/05/22 2:15 PM,KristianV,Mini Tower
05/05/22 2:16 PM,JenniferR,Mini Tower
05/05/22 2:23 PM,KristianV,Desktop
05/05/22 2:33 PM,KristianV,Desktop
05/05/22 3:08 PM,KristianV,All In One
05/05/22 3:18 PM,KristianV,All In One
05/05/22 3:29 PM,KristianV,All In One
05/05/22 3:40 PM,KristianV,All In One
05/05/22 3:53 PM,KristianV,All In One
05/05/22 4:37 PM,KristianV,All In One
05/06/22 9:45 AM,CesarP,Notebook
05/06/22 9:51 AM,CesarP,Notebook
05/06/22 9:58 AM,CesarP,Notebook
05/06/22 10:06 AM,CesarP,Notebook
05/06/22 10:17 AM,CesarP,Notebook
05/06/22 10:22 AM,CesarP,Notebook
05/06/22 11:23 AM,CesarP,Notebook
05/06/22 11:28 AM,CesarP,Notebook
05/06/22 11:35 AM,CesarP,Notebook
05/06/22 11:35 AM,JenniferR,Laptop
05/06/22 12:05 PM,JenniferR,Notebook
05/06/22 12:25 PM,CesarP,Notebook
05/06/22 12:35 PM,JenniferR,Notebook
05/06/22 12:38 PM,CesarP,Notebook
05/06/22 12:46 PM,CesarP,Laptop
05/06/22 12:46 PM,JenniferR,Notebook
05/06/22 12:49 PM,CesarP,Notebook
05/06/22 12:54 PM,JenniferR,Laptop
05/06/22 12:59 PM,CesarP,Notebook
05/06/22 1:01 PM,JenniferR,Laptop
05/06/22 2:14 PM,CesarP,Laptop
05/06/22 2:21 PM,JenniferR,Laptop
05/06/22 2:23 PM,CesarP,Laptop
05/06/22 2:28 PM,JenniferR,Laptop
05/06/22 2:32 PM,JenniferR,Laptop
05/06/22 2:35 PM,JeannetteF,Notebook
05/06/22 2:55 PM,CesarP,Laptop
05/06/22 3:02 PM,JenniferR,Portable
05/06/22 3:05 PM,JeannetteF,Notebook
05/06/22 3:12 PM,JenniferR,Laptop
05/06/22 3:18 PM,CesarP,Notebook
05/06/22 3:19 PM,JenniferR,Laptop
05/06/22 3:32 PM,JenniferR,Laptop
05/06/22 3:38 PM,JenniferR,Laptop
05/06/22 3:39 PM,CesarP,Notebook
05/06/22 3:52 PM,CesarP,Notebook
05/06/22 3:56 PM,JenniferR,Laptop
05/06/22 4:00 PM,JeannetteF,Notebook
05/06/22 4:19 PM,CesarP,Laptop
05/06/22 4:23 PM,JeannetteF,Notebook
05/06/22 4:27 PM,CesarP,Laptop
05/06/22 4:39 PM,JenniferR,Laptop
05/06/22 4:45 PM,JenniferR,Notebook
05/06/22 4:52 PM,CesarP,Notebook
05/09/22 9:00 AM,JeannetteF,Convertible
05/09/22 9:13 AM,JeannetteF,Convertible
05/09/22 10:21 AM,KristianV,Notebook
05/09/22 10:27 AM,KristianV,Notebook
05/09/22 10:32 AM,KristianV,Notebook
05/09/22 10:38 AM,JenniferR,Laptop
05/09/22 10:48 AM,CesarP,Portable
05/09/22 10:51 AM,JeannetteF,Notebook
05/09/22 10:54 AM,KristianV,Laptop
05/09/22 11:26 AM,KristianV,Notebook
05/09/22 11:31 AM,KristianV,Notebook
05/09/22 11:37 AM,KristianV,Notebook
05/09/22 11:41 AM,JenniferR,Laptop
05/09/22 11:41 AM,KristianV,Notebook
05/09/22 11:58 AM,KristianV,Notebook
05/09/22 12:01 PM,CesarP,Notebook
05/09/22 12:13 PM,CesarP,Notebook
05/09/22 12:16 PM,KristianV,Notebook
05/09/22 12:21 PM,JenniferR,Notebook
05/09/22 12:27 PM,KristianV,Notebook
05/09/22 12:35 PM,JenniferR,Notebook
05/09/22 12:37 PM,KristianV,Notebook
05/09/22 12:40 PM,JeannetteF,Notebook
05/09/22 12:47 PM,JenniferR,Notebook
05/09/22 12:57 PM,CesarP,Notebook
05/09/22 12:59 PM,JeannetteF,Notebook
05/09/22 1:02 PM,JenniferR,Notebook
05/09/22 1:57 PM,KristianV,Notebook
05/09/22 2:01 PM,CesarP,Notebook
05/09/22 2:08 PM,KristianV,Notebook
